#    Time[ns]      Variable
            0.0000000000            90.8000000000
            0.2500000000            90.9492821412
            0.5000000000            89.4954135030
            0.7500000000            90.9308848829
            1.0000000000            86.3921548762
            1.2500000000            84.8359191137
            1.5000000000            84.8683843889
            1.7500000000            84.1554748667
            2.0000000000            85.8345989917
            2.2500000000            88.0390805721
            2.5000000000            89.1232458945
            2.7500000000            90.3183231446
            3.0000000000            88.7541858572
            3.2500000000            93.0923446246
            3.5000000000            88.8650950427
            3.7500000000            88.7496666514
            4.0000000000            88.7683054746
            4.2500000000            90.9268591804
            4.5000000000            88.7862465736
            4.7500000000            85.0713933898
            5.0000000000            88.3221809152
            5.2500000000            89.7380535360
            5.5000000000            88.2687685608
            5.7500000000            84.3791990318
            6.0000000000            83.5749910127
            6.2500000000            81.7550744930
            6.5000000000            83.6774584723
            6.7500000000            85.6108817368
            7.0000000000            87.2882459861
            7.2500000000            86.9666772129
            7.5000000000            87.5660757850
            7.7500000000            87.0462804632
            8.0000000000            87.5256900781
            8.2500000000            85.1801009155
            8.5000000000            84.9505822629
            8.7500000000            87.9332146144
            9.0000000000            88.2198524677
            9.2500000000            93.1463126498
            9.5000000000            91.9136742788
            9.7500000000            93.1209934568
           10.0000000000            91.7065931525
           10.2500000000            90.5514337596
           10.5000000000            91.1314219180
           10.7500000000            87.1642804084
           11.0000000000            86.8896450764
           11.2500000000            87.9694324448
           11.5000000000            86.2765348489
           11.7500000000            88.9317413496
           12.0000000000            88.1541282229
           12.2500000000            87.3012689642
           12.5000000000            86.5522189664
           12.7500000000            87.0553366017
           13.0000000000            88.2291873713
           13.2500000000            89.2498203927
           13.5000000000            94.1810972887
           13.7500000000            91.9174733456
           14.0000000000            92.5498677399
           14.2500000000            93.3909087132
           14.5000000000            92.2974355082
           14.7500000000            90.7319028167
           15.0000000000            91.0587580318
           15.2500000000            87.0361046195
           15.5000000000            86.7576041563
           15.7500000000            83.9697733266
           16.0000000000            88.9672055534
           16.2500000000            87.9245073833
           16.5000000000            86.4618566414
           16.7500000000            91.0710900204
           17.0000000000            90.4721648015
           17.2500000000            89.5080437719
           17.5000000000            90.8268476507
           17.7500000000            93.7044912728
           18.0000000000            95.3853946859
           18.2500000000            89.4414399123
           18.5000000000            87.3514095706
           18.7500000000            89.4332965904
           19.0000000000            90.5444662921
           19.2500000000            90.5503701778
           19.5000000000            93.9101787008
           19.7500000000            92.2546522850
           20.0000000000            89.9190932390
           20.2500000000            84.8658038068
           20.5000000000            88.4273321752
           20.7500000000            88.6874269916
           21.0000000000            93.1971701584
           21.2500000000            91.6676290599
           21.5000000000            92.1671591527
           21.7500000000            94.7532056542
           22.0000000000            91.9006162762
           22.2500000000            94.0527797080
           22.5000000000            96.9309155131
           22.7500000000            96.1812357746
           23.0000000000            96.1593402002
           23.2500000000            95.7170118408
           23.5000000000            96.2732216567
           23.7500000000            92.4186624983
           24.0000000000            94.2121995930
           24.2500000000            93.5552289827
           24.5000000000            92.5015869750
           24.7500000000            93.7695179606
           25.0000000000            91.3565847015
           25.2500000000            91.4198004158
           25.5000000000            93.3191440185
           25.7500000000            94.9751433378
           26.0000000000            97.0178579252
           26.2500000000            94.8539027557
           26.5000000000            90.2953015158
